,0
911,84.08187202686483
912,86.73966988664215
913,84.31154792479524
914,85.25780137242761
915,80.37928146437734
916,86.1134637851529
917,86.23461484995802
918,84.26406489532508
919,84.64503286230905
920,82.84162482931573
921,84.79987371858145
922,82.97246108438495
923,87.26321775557518
924,86.02494146282616
925,85.97334880380104
926,84.54348778707727
927,82.78629879460041
928,86.88103904114574
929,85.6074844254422
930,80.02347910642492
931,80.96412430335013
932,79.78996387029535
933,82.22226073968912
934,80.03899890502268
935,81.9950641579752
936,81.65281673782374
937,87.45802816173332
938,79.8308252519362
939,79.27447073297391
940,82.66428380582613
941,78.5281118584582
942,86.5364099075616
943,77.70320940527318
944,85.69752054095947
945,86.59445151316068
946,83.71285476391532
947,82.58285861070068
948,83.91274810072711
949,80.84489150113748
950,78.2167038262754
951,82.62339709300979
952,75.16885440608853
953,74.84084177811363
954,77.56843890987268
955,77.8991862845418
956,77.99902743523941
957,80.82322763335864
958,80.6126841763719
959,75.18964386213703
960,77.96829390624347
961,72.0734732927851
962,77.3758209111111
963,77.92356483521844
964,75.08679458889783
965,76.48178752649453
966,76.13037914550233
967,79.54498823159214
968,80.3447522783593
969,77.7626497752055
970,76.48670225123546
971,77.8139691990198
972,77.41300111306629
973,77.10227646119519
974,81.30476432283548
975,83.99492757823819
976,79.33359585772024
977,78.61218097954848
978,74.9464726502588
979,73.88969852642704
980,78.42691680562287
981,77.40485846698807
982,76.84979252614703
983,79.61768911395421
984,75.51920268344314
985,76.86963257621001
986,76.348141583877
987,80.18991748684752
988,76.58655014120798
989,74.63005232421445
990,71.79486103378889
991,73.2565953497883
992,77.5394669482271
993,78.19233184088216
994,76.5665146553045
995,72.96065683682238
996,75.89350676273342
997,78.92673375070565
998,78.08945962681413
999,77.21911643811049
1000,81.23810953419022
1001,78.91051484873809
1002,74.91094288961988
1003,73.65685733669719
1004,77.03670741067165
1005,77.37283840379816
1006,77.79801292521648
1007,79.33518797478655
1008,77.88005453712165
1009,76.9464141131922
1010,75.04992683431696
1011,77.02775689031849
1012,76.8078003818435
1013,75.24802092409487
1014,74.82135968946305
1015,71.14839759395139
1016,79.75072904764257
1017,81.2897174061024
1018,75.53297861374949
1019,76.58992508927962
1020,80.52646875301092
1021,74.31559654236864
1022,77.72393708990714
1023,75.21022237915643
1024,77.4267326151578
1025,77.06998888600982
1026,78.9895772084888
1027,78.82475562628576
1028,80.83607954893203
1029,76.4164710887684
1030,75.14409524518815
1031,75.80517696380643
1032,81.40448045652518
1033,75.46872099361161
1034,78.15185533615306
1035,75.30624323046754
1036,79.36453792537947
1037,80.96239628845609
1038,74.95313560753739
1039,75.87164078432714
1040,73.44334273736406
1041,74.3480240609578
1042,77.34150072002686
1043,77.99113517771022
1044,77.49406919406222
1045,78.1901355457649
1046,76.59513706905176
1047,73.49906347139095
1048,75.1646261167379
1049,74.88871798683138
1050,76.84483745344792
1051,74.87410098470708
1052,71.98718817326946
1053,78.36528882540186
1054,78.98094874456561
1055,85.61358663191285
1056,81.139108191251
1057,76.26626148417441
1058,77.46448870668745
1059,82.9286743004898
1060,79.70405273151155
1061,76.21235316563687
1062,77.59344750318607
1063,75.612373136659
1064,80.26597800770614
1065,77.0425327492278
1066,74.84586670477545
1067,76.83361766887404
1068,78.37533640141851
1069,78.23066340122546
1070,71.47525777095363
1071,70.2772481609679
1072,72.63532759765913
